Station,Lat,Long,Alt,Date,O18Avg,H2avg,dex,Precipitation (kg/m^2/s),Temperature (K)
RES,74.43,94.59,67.0,1989-01-02,-36.03,-302.3,-14.060000000000002,0.0,236.43356323242188
HAL,68.47,81.15,8.0,1989-01-02,-36.33,-310.4,-19.75999999999999,0.0,230.0917205810547
RES,74.43,94.59,67.0,1989-02-02,-29.32,-238.5,-3.9399999999999977,0.0,235.85580444335938
HAL,68.47,81.15,8.0,1989-02-02,-33.06,-269.1,-4.6200000000000045,7.144169103412423e-06,247.73313903808594
RES,74.43,94.59,67.0,1989-03-02,-35.57,-266.7,17.860000000000014,0.0,238.81707763671875
HAL,68.47,81.15,8.0,1989-03-02,-34.96,-263.0,16.680000000000007,1.6986758055281825e-05,252.2521514892578
CAM,69.6,105.8,27.0,1989-03-02,-33.61,-251.1,17.78,1.176010937342653e-05,242.6678009033203
RES,74.43,94.59,67.0,1989-04-02,-29.29,-219.5,14.819999999999993,2.4009684693737654e-06,256.684326171875
HAL,68.47,81.15,8.0,1989-04-02,-30.74,-227.8,18.119999999999976,3.41539598593954e-05,264.9916687011719
CAM,69.6,105.8,27.0,1989-04-02,-32.22,-236.2,21.560000000000002,0.0,255.8338165283203
CAM,69.6,105.8,27.0,1989-05-02,-25.12,-188.6,12.360000000000014,5.153418442205293e-06,262.86297607421875
RES,74.43,94.59,67.0,1989-05-02,-33.02,-246.3,17.860000000000014,6.752847639290849e-06,263.64739990234375
HAL,68.47,81.15,8.0,1989-05-02,-21.72,-154.9,18.859999999999985,0.0,259.20831298828125
HAL,68.47,81.15,8.0,1989-06-02,-18.62,-143.2,5.760000000000019,0.0,268.7716064453125
CAM,69.6,105.8,27.0,1989-06-02,-19.12,-144.5,8.460000000000008,0.0,274.4376525878906
RES,74.43,94.59,67.0,1989-06-02,-21.69,-162.0,11.52000000000001,0.0,268.36553955078125
HAL,68.47,81.15,8.0,1989-07-02,-13.93,-103.5,7.939999999999998,0.0,280.57086181640625
CAM,69.6,105.8,27.0,1989-07-02,-16.47,-126.9,4.859999999999985,1.900638199003879e-05,285.3104248046875
RES,74.43,94.59,67.0,1989-07-02,-18.18,-137.9,7.539999999999992,0.0,275.1415710449219
HAL,68.47,81.15,8.0,1989-08-02,-18.11,-140.4,4.47999999999999,0.0,282.50140380859375
RES,74.43,94.59,67.0,1989-08-02,-17.21,-129.4,8.280000000000001,5.578230229730252e-06,274.79681396484375
CAM,69.6,105.8,27.0,1989-08-02,-16.53,-127.9,4.340000000000003,0.0,278.6339416503906
RES,74.43,94.59,67.0,1989-09-02,-24.6,-182.4,14.400000000000006,0.0,277.431396484375
HAL,68.47,81.15,8.0,1989-09-02,-21.34,-159.8,10.919999999999987,1.5709130821051076e-05,282.454345703125
CAM,69.6,105.8,27.0,1989-09-02,-18.92,-155.4,-4.039999999999992,0.0,278.28326416015625
CAM,69.6,105.8,27.0,1989-10-02,-24.96,-188.7,10.980000000000018,1.2536079339042772e-05,272.8165588378906
RES,74.43,94.59,67.0,1989-10-02,-28.04,-204.1,20.22,0.0,272.0187072753906
HAL,68.47,81.15,8.0,1989-10-02,-25.3,-176.4,26.0,1.9339304344612174e-05,279.8279724121094
RES,74.43,94.59,67.0,1989-11-02,-33.51,-252.5,15.579999999999984,2.5595977604098152e-06,255.59945678710938
CAM,69.6,105.8,27.0,1989-11-02,-33.2,-254.6,11.000000000000028,2.0960707843187265e-05,260.31915283203125
HAL,68.47,81.15,8.0,1989-11-02,-25.63,-174.6,30.439999999999998,1.3801616660202853e-05,269.0545654296875
RES,74.43,94.59,67.0,1989-12-02,-35.79,-274.6,11.71999999999997,0.0,248.597412109375
HAL,68.47,81.15,8.0,1989-12-02,-29.683636363636367,-223.56500000000003,13.904090909090911,1.321784748142818e-05,259.5639953613281
CAM,69.6,105.8,27.0,1989-12-02,-34.4,-263.8,11.399999999999977,0.0,247.77383422851562
HAL,68.47,81.15,8.0,1990-01-02,-40.84,-308.9,17.82000000000005,0.0,241.41043090820312
RES,74.43,94.59,67.0,1990-01-02,-35.49,-280.4,3.5200000000000387,0.0,241.39866638183594
CAM,69.6,105.8,27.0,1990-01-02,-35.07,-268.0,12.560000000000002,0.0,235.27517700195312
HAL,68.47,81.15,8.0,1990-02-02,-34.8,-271.8,6.599999999999966,1.0251426829199772e-05,245.2497100830078
RES,74.43,94.59,67.0,1990-02-02,-37.76,-293.8,8.279999999999973,3.7137288018129766e-06,247.18727111816406
CAM,69.6,105.8,27.0,1990-02-02,-32.49,-250.8,9.120000000000005,8.267329576483462e-06,235.96119689941406
HAL,68.47,81.15,8.0,1990-03-02,-32.08,-245.7,10.939999999999998,4.626390727935359e-05,258.4960021972656
RES,74.43,94.59,67.0,1990-03-02,-36.68,-291.2,2.240000000000009,2.6675397748476826e-06,240.81973266601562
CAM,69.6,105.8,27.0,1990-03-02,-26.28,-200.1,10.140000000000015,0.0,244.60389709472656
HAL,68.47,81.15,8.0,1990-04-02,-36.27,-276.4,13.760000000000048,2.3109429093892686e-05,255.3274383544922
RES,74.43,94.59,67.0,1990-04-02,-29.89,-230.6,8.52000000000001,3.103569179074839e-05,249.439453125
CAM,69.6,105.8,27.0,1990-04-02,-27.89,-217.4,5.719999999999999,0.0,244.7481689453125
CAM,69.6,105.8,27.0,1990-05-02,-33.39,-266.2,0.9200000000000159,4.973671821062453e-06,257.2334899902344
HAL,68.47,81.15,8.0,1990-05-02,-21.47,-168.5,3.259999999999991,0.0,260.00445556640625
RES,74.43,94.59,67.0,1990-05-02,-27.85,-217.0,5.800000000000011,0.0,255.48233032226562
HAL,68.47,81.15,8.0,1990-06-02,-22.81,-175.4,7.079999999999984,9.88098508969415e-06,272.8981018066406
RES,74.43,94.59,67.0,1990-06-02,-25.25,-191.6,10.400000000000006,4.002978130301926e-06,267.7081298828125
CAM,69.6,105.8,27.0,1990-06-02,-23.17,-176.8,8.560000000000002,0.0,271.3610534667969
HAL,68.47,81.15,8.0,1990-07-02,-14.25,-108.1,5.900000000000006,0.0,280.2413330078125
RES,74.43,94.59,67.0,1990-07-02,-19.17,-148.3,5.060000000000002,0.0,272.7614440917969
