Lat,Lon,Alt (m)
83.02890317,-77.23768799,31
83.02890317,-76.3393727,105
83.02890317,-75.44105742,80
83.02890317,-74.54274213,140
83.02890317,-72.74611156,399
83.02890317,-71.84779628,221
83.02890317,-70.949481,164
83.02890317,-70.05116571,227
82.91902314,-79.93263384,340
82.91902314,-76.3393727,855
82.91902314,-75.44105742,423
82.91902314,-74.54274213,561
82.91902314,-72.74611156,691
82.91902314,-71.84779628,940
82.91902314,-70.05116571,383
82.91902314,-69.15285043,673
82.91902314,-68.25453514,224
82.91902314,-67.35621986,147
82.91902314,-66.45790458,72
82.80742013,-80.83094912,46
82.80742013,-79.93263384,77
82.80742013,-79.03431855,384
82.80742013,-78.13600327,623
82.80742013,-77.23768799,815
82.80742013,-76.3393727,149
82.80742013,-75.44105742,299
82.80742013,-74.54274213,231
82.80742013,-73.64442685,396
82.80742013,-72.74611156,638
82.80742013,-71.84779628,685
82.80742013,-70.949481,363
82.80742013,-70.05116571,579
82.80742013,-69.15285043,596
82.80742013,-68.25453514,476
82.80742013,-67.35621986,495
82.80742013,-65.55958929,435
82.80742013,-64.66127401,0
82.80742013,-63.76295872,313
82.69406754,-80.83094912,252
82.69406754,-79.93263384,215
82.69406754,-79.03431855,102
82.69406754,-78.13600327,351
82.69406754,-77.23768799,348
82.69406754,-75.44105742,684
82.69406754,-74.54274213,426
82.69406754,-73.64442685,752
82.69406754,-72.74611156,577
82.69406754,-71.84779628,800
82.69406754,-70.949481,948
82.69406754,-70.05116571,1225
82.69406754,-69.15285043,1335
82.69406754,-68.25453514,111
82.69406754,-66.45790458,490
82.69406754,-65.55958929,168
82.69406754,-64.66127401,159
82.69406754,-63.76295872,57
82.57893839,-81.72926441,442
82.57893839,-79.93263384,564
82.57893839,-79.03431855,768
82.57893839,-78.13600327,458
82.57893839,-77.23768799,1144
82.57893839,-76.3393727,857
82.57893839,-75.44105742,1004
82.57893839,-74.54274213,736
82.57893839,-73.64442685,972
82.57893839,-72.74611156,500
82.57893839,-71.84779628,687
82.57893839,-70.949481,1504
82.57893839,-70.05116571,866
82.57893839,-69.15285043,40
82.57893839,-68.25453514,830
82.57893839,-67.35621986,510
82.57893839,-66.45790458,949
82.57893839,-65.55958929,1068
82.57893839,-64.66127401,280
82.57893839,-63.76295872,176
82.46200533,-85.32252554,36
82.46200533,-81.72926441,412
82.46200533,-80.83094912,211
82.46200533,-79.93263384,631
82.46200533,-79.03431855,925
82.46200533,-78.13600327,997
82.46200533,-77.23768799,1422
82.46200533,-76.3393727,850
82.46200533,-75.44105742,1382
82.46200533,-74.54274213,1087
82.46200533,-73.64442685,1054
82.46200533,-72.74611156,501
82.46200533,-71.84779628,1700
82.46200533,-70.949481,876
82.46200533,-70.05116571,601
82.46200533,-69.15285043,701
82.46200533,-68.25453514,56
82.46200533,-67.35621986,1190
82.46200533,-66.45790458,1058
82.46200533,-65.55958929,977
82.46200533,-64.66127401,350
82.46200533,-63.76295872,357
82.46200533,-62.86464344,15
82.46200533,-61.96632816,119
82.34324056,-85.32252554,30
82.34324056,-84.42421026,67
82.34324056,-81.72926441,981
82.34324056,-80.83094912,1310
82.34324056,-79.93263384,831
82.34324056,-79.03431855,520
82.34324056,-78.13600327,1349
82.34324056,-77.23768799,1526
82.34324056,-76.3393727,669
82.34324056,-75.44105742,645
82.34324056,-74.54274213,1403
82.34324056,-73.64442685,752
82.34324056,-72.74611156,919
82.34324056,-71.84779628,1600
82.34324056,-70.949481,1128
82.34324056,-70.05116571,506
82.34324056,-69.15285043,1186
82.34324056,-68.25453514,494
82.34324056,-67.35621986,1514
82.34324056,-66.45790458,1069
82.34324056,-65.55958929,861
82.34324056,-64.66127401,574
82.34324056,-63.76295872,446
82.34324056,-62.86464344,398
82.34324056,-61.96632816,399
82.22261593,-86.22084083,109
82.22261593,-85.32252554,196
82.22261593,-84.42421026,580
82.22261593,-83.52589497,1010
82.22261593,-82.62757969,514
82.22261593,-81.72926441,62
82.22261593,-80.83094912,791
82.22261593,-79.93263384,1137
82.22261593,-79.03431855,1028
82.22261593,-78.13600327,917
82.22261593,-77.23768799,1275
82.22261593,-76.3393727,1017
82.22261593,-75.44105742,748
82.22261593,-74.54274213,1134
82.22261593,-73.64442685,1726
82.22261593,-72.74611156,1630
82.22261593,-71.84779628,1739
82.22261593,-70.949481,1192
82.22261593,-70.05116571,1340
82.22261593,-69.15285043,1148
82.22261593,-68.25453514,866
82.22261593,-67.35621986,717
82.22261593,-66.45790458,548
82.22261593,-65.55958929,564
82.22261593,-64.66127401,569
82.22261593,-63.76295872,574
82.22261593,-62.86464344,524
82.22261593,-61.96632816,476
82.10010285,-88.01747139,22
82.10010285,-86.22084083,22
82.10010285,-85.32252554,954
82.10010285,-84.42421026,832
82.10010285,-83.52589497,846
82.10010285,-82.62757969,148
82.10010285,-81.72926441,91
82.10010285,-80.83094912,346
82.10010285,-79.93263384,1209
82.10010285,-79.03431855,1117
82.10010285,-78.13600327,1329
82.10010285,-77.23768799,1638
82.10010285,-76.3393727,1522
82.10010285,-75.44105742,1080
82.10010285,-74.54274213,1680
82.10010285,-73.64442685,1719
82.10010285,-72.74611156,1700
82.10010285,-71.84779628,1183
82.10010285,-70.949481,922
82.10010285,-70.05116571,1108
82.10010285,-69.15285043,607
82.10010285,-68.25453514,472
82.10010285,-67.35621986,455
82.10010285,-66.45790458,472
82.10010285,-65.55958929,509
82.10010285,-64.66127401,661
82.10010285,-63.76295872,651
82.10010285,-62.86464344,416
82.10010285,-61.96632816,327
81.97567232,-88.91578668,41
81.97567232,-88.01747139,237
81.97567232,-86.22084083,230
81.97567232,-85.32252554,349
81.97567232,-84.42421026,515
81.97567232,-83.52589497,825
81.97567232,-82.62757969,926
81.97567232,-81.72926441,1061
81.97567232,-80.83094912,461
81.97567232,-79.03431855,284
81.97567232,-78.13600327,1121
81.97567232,-77.23768799,1238
81.97567232,-76.3393727,1609
81.97567232,-75.44105742,1548
81.97567232,-74.54274213,1672
81.97567232,-73.64442685,1274
81.97567232,-72.74611156,1610
81.97567232,-71.84779628,1353
81.97567232,-70.949481,1294
81.97567232,-70.05116571,460
81.97567232,-69.15285043,361
81.97567232,-68.25453514,260
81.97567232,-67.35621986,238
81.97567232,-66.45790458,729
81.97567232,-65.55958929,378
81.97567232,-64.66127401,588
81.97567232,-63.76295872,604
81.97567232,-62.86464344,534
81.84929493,-89.81410196,98
81.84929493,-88.91578668,191
81.84929493,-88.01747139,475
81.84929493,-87.11915611,757
81.84929493,-86.22084083,699
81.84929493,-85.32252554,78
81.84929493,-84.42421026,874
81.84929493,-83.52589497,693
81.84929493,-82.62757969,211
81.84929493,-81.72926441,1224
81.84929493,-80.83094912,1247
81.84929493,-79.93263384,1256
81.84929493,-79.03431855,831
81.84929493,-78.13600327,663
81.84929493,-77.23768799,1036
81.84929493,-76.3393727,1304
81.84929493,-75.44105742,1664
81.84929493,-74.54274213,1686
81.84929493,-73.64442685,1729
81.84929493,-72.74611156,849
81.84929493,-71.84779628,771
81.84929493,-70.949481,159
81.84929493,-70.05116571,141
81.84929493,-69.15285043,300
81.84929493,-68.25453514,363
81.84929493,-67.35621986,660
81.84929493,-66.45790458,584
81.84929493,-65.55958929,852
81.84929493,-64.66127401,434
81.84929493,-63.76295872,150
81.72094084,-91.61073253,251
81.72094084,-90.71241725,408
81.72094084,-89.81410196,267
81.72094084,-88.91578668,60
81.72094084,-88.01747139,473
81.72094084,-87.11915611,360
81.72094084,-86.22084083,451
81.72094084,-85.32252554,696
81.72094084,-84.42421026,972
81.72094084,-83.52589497,900
81.72094084,-82.62757969,1011
81.72094084,-81.72926441,649
81.72094084,-80.83094912,918
81.72094084,-79.93263384,1200
81.72094084,-79.03431855,1483
