index,Station,Lat,Long,Alt,Date,O18Avg,H2avg,dex,Precipitation (kg/m^2/s),Temperature (K)
2179,OTT,45.32,-75.67,114.0,1970-02-15,-17.3,,,0.00014576143,266.2653
2212,OTT,45.32,-75.67,114.0,1970-03-15,-16.79,,,0.0,274.18588
2230,OTT,45.32,-75.67,114.0,1970-04-15,-12.57,,,0.0,275.30975
2242,OTT,45.32,-75.67,114.0,1970-05-15,-7.96,,,0.0,285.6933
2267,OTT,45.32,-75.67,114.0,1970-06-15,-6.84,,,0.0,285.0534
2306,OTT,45.32,-75.67,114.0,1970-09-15,-6.84,,,0.0,281.78198
2323,OTT,45.32,-75.67,114.0,1970-10-15,-10.49,,,0.0,280.7949
2357,OTT,45.32,-75.67,114.0,1970-11-15,-14.68,,,0.00010053362,276.85925
2375,OTT,45.32,-75.67,114.0,1970-12-15,-14.81,,,0.0,271.23575
2376,OTT,45.32,-75.67,114.0,1971-01-15,-17.78,,,0.00016917594,273.7005
2411,OTT,45.32,-75.67,114.0,1971-02-15,-14.71,,,0.0,258.33374
2428,OTT,45.32,-75.67,114.0,1971-03-15,-15.58,,,0.0,273.184
2433,OTT,45.32,-75.67,114.0,1971-04-15,-9.53,,,0.0,274.33694
2465,OTT,45.32,-75.67,114.0,1971-05-15,-8.66,,,0.0001492438,284.30502
2466,OTT,45.32,-75.67,114.0,1971-06-15,-8.47,,,1.8463921e-05,290.94962
2493,OTT,45.32,-75.67,114.0,1971-07-15,-9.59,,,4.850769e-05,295.41916
2537,OTT,45.32,-75.67,114.0,1971-09-15,-8.34,,,0.0,285.70938
2539,OTT,45.32,-75.67,114.0,1971-10-15,-10.71,,,0.0,271.24417
2565,OTT,45.32,-75.67,114.0,1971-11-15,-17.24,,,0.0002849038,271.7544
2591,OTT,45.32,-75.67,114.0,1971-12-15,-13.86,,,0.0,275.3451
2608,OTT,45.32,-75.67,114.0,1972-01-15,-18.71,,,0.0,252.94978
2618,OTT,45.32,-75.67,114.0,1972-02-15,-19.89,,,0.0,261.55508
2641,OTT,45.32,-75.67,114.0,1972-03-15,-12.82,,,1.0398606e-05,274.58395
2663,OTT,45.32,-75.67,114.0,1972-04-15,-11.69,,,3.491262e-05,271.39236
2681,OTT,45.32,-75.67,114.0,1972-05-15,-7.79,,,0.0,281.422
