#Data produced with Piso.AI v1.2020 and downloaded on 2024-01-25.
#Please cite Nelson Basler Kahmen; PNAS 2021 Vol. 118 No. 26 e2024107118 when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"1","Piso.AI.Site",2003-01-15,49.82,7.6,329,-9.1,-68
"2","Piso.AI.Site",2003-02-15,49.82,7.6,329,-10,-70
"3","Piso.AI.Site",2003-03-15,49.82,7.6,329,-7.2,-57
"4","Piso.AI.Site",2003-04-15,49.82,7.6,329,-6.9,-51
"5","Piso.AI.Site",2003-05-15,49.82,7.6,329,-5,-35
"6","Piso.AI.Site",2003-06-15,49.82,7.6,329,-4.1,-30
"7","Piso.AI.Site",2003-07-15,49.82,7.6,329,-4.9,-37
"8","Piso.AI.Site",2003-08-15,49.82,7.6,329,-5.1,-36
"9","Piso.AI.Site",2003-09-15,49.82,7.6,329,-6.4,-43
"10","Piso.AI.Site",2003-10-15,49.82,7.6,329,-8.1,-58
"11","Piso.AI.Site",2003-11-15,49.82,7.6,329,-10.2,-75
"12","Piso.AI.Site",2003-12-15,49.82,7.6,329,-8.8,-65
"13","Piso.AI.Site",2004-01-15,49.82,7.6,329,-9.4,-73
"14","Piso.AI.Site",2004-02-15,49.82,7.6,329,-8.3,-61
"15","Piso.AI.Site",2004-03-15,49.82,7.6,329,-7.6,-48 
"16","Piso.AI.Site",2004-04-15,49.82,7.6,329,-7.7,-55
"17","Piso.AI.Site",2004-05-15,49.82,7.6,329,-8.1,-59
"18","Piso.AI.Site",2004-06-15,49.82,7.6,329,-5.5,-38
"19","Piso.AI.Site",2004-07-15,49.82,7.6,329,-5,-34
"20","Piso.AI.Site",2004-08-15,49.82,7.6,329,-6.5,-49
"21","Piso.AI.Site",2004-09-15,49.82,7.6,329,-4.5,-29
"22","Piso.AI.Site",2004-10-15,49.82,7.6,329,-7.9,-57
"23","Piso.AI.Site",2004-11-15,49.82,7.6,329,-8.5,-55
"24","Piso.AI.Site",2004-12-15,49.82,7.6,329,-9.1,-63
"25","Piso.AI.Site",2005-01-15,49.82,7.6,329,-7.1,-49
"26","Piso.AI.Site",2005-02-15,49.82,7.6,329,-11.1,-85
"27","Piso.AI.Site",2005-03-15,49.82,7.6,329,-7.7,-60
"28","Piso.AI.Site",2005-04-15,49.82,7.6,329,-7.1,-54
"29","Piso.AI.Site",2005-05-15,49.82,7.6,329,-6,-41
"30","Piso.AI.Site",2005-06-15,49.82,7.6,329,-4.5,-36
"31","Piso.AI.Site",2005-07-15,49.82,7.6,329,-5,-36
"32","Piso.AI.Site",2005-08-15,49.82,7.6,329,-6.3,-48
"33","Piso.AI.Site",2005-09-15,49.82,7.6,329,-5.4,-36
"34","Piso.AI.Site",2005-10-15,49.82,7.6,329,-6.6,-42
"35","Piso.AI.Site",2005-11-15,49.82,7.6,329,-8.5,-61
"36","Piso.AI.Site",2005-12-15,49.82,7.6,329,-10,-74
"37","Piso.AI.Site",2006-01-15,49.82,7.6,329,-10.8,-78
"38","Piso.AI.Site",2006-02-15,49.82,7.6,329,-9.9,-80
"39","Piso.AI.Site",2006-03-15,49.82,7.6,329,-8.3,-64
"40","Piso.AI.Site",2006-04-15,49.82,7.6,329,-6.2,-41
"41","Piso.AI.Site",2006-05-15,49.82,7.6,329,-6.2,-47
"42","Piso.AI.Site",2006-06-15,49.82,7.6,329,-4.1,-27
"43","Piso.AI.Site",2006-07-15,49.82,7.6,329,-4.3,-32
"44","Piso.AI.Site",2006-08-15,49.82,7.6,329,-7.7,-57
"45","Piso.AI.Site",2006-09-15,49.82,7.6,329,-6.3,-44
"46","Piso.AI.Site",2006-10-15,49.82,7.6,329,-7.2,-54
"47","Piso.AI.Site",2006-11-15,49.82,7.6,329,-6.8,-49
"48","Piso.AI.Site",2006-12-15,49.82,7.6,329,-7.8,-52
"49","Piso.AI.Site",2007-01-15,49.82,7.6,329,-7.2,-50
