Lat,Lon,Month,Year,isoP
82.31,-62.17,1,2003,-35.0940021
82.31,-62.17,2,2003,-36.08910106
82.31,-62.17,3,2003,-36.55527035
82.31,-62.17,4,2003,-32.81164565
82.31,-62.17,5,2003,-26.53575137
82.31,-62.17,6,2003,-22.22117001
82.31,-62.17,7,2003,-20.62056859
82.31,-62.17,8,2003,-22.09177855
82.31,-62.17,9,2003,-25.89896409
82.31,-62.17,10,2003,-28.61584753
82.31,-62.17,11,2003,-33.75013581
82.31,-62.17,12,2003,-34.85425663
82.31,-62.17,1,2004,-36.57639189
82.31,-62.17,2,2004,-34.86084704
82.31,-62.17,3,2004,-38.57966894
82.31,-62.17,4,2004,-30.65869229
82.31,-62.17,5,2004,-26.79023101
82.31,-62.17,6,2004,-22.55722694
82.31,-62.17,7,2004,-19.94848225
82.31,-62.17,8,2004,-20.3734941
82.31,-62.17,9,2004,-26.37621189
82.31,-62.17,10,2004,-29.47382269
82.31,-62.17,11,2004,-35.73992725
82.31,-62.17,12,2004,-37.85031562
82.31,-62.17,1,2005,-34.53077138
82.31,-62.17,2,2005,-33.20408911
82.31,-62.17,3,2005,-31.14455328
82.31,-62.17,4,2005,-33.99390237
82.31,-62.17,5,2005,-23.85182875
82.31,-62.17,6,2005,-21.90345951
82.31,-62.17,7,2005,-19.13796491
82.31,-62.17,8,2005,-20.90506974
82.31,-62.17,9,2005,-25.59126935
82.31,-62.17,10,2005,-31.20989154
82.31,-62.17,11,2005,-32.933874
82.31,-62.17,12,2005,-33.52464751
82.31,-62.17,1,2006,-34.74207009
82.31,-62.17,2,2006,-35.48030482
82.31,-62.17,3,2006,-31.88397551
82.31,-62.17,4,2006,-29.73574451
82.31,-62.17,5,2006,-24.92937149
82.31,-62.17,6,2006,-22.66152456
82.31,-62.17,7,2006,-19.28254756
82.31,-62.17,8,2006,-21.13764477
82.31,-62.17,9,2006,-23.23970661
82.31,-62.17,10,2006,-27.76609087
82.31,-62.17,11,2006,-34.87152601
82.31,-62.17,12,2006,-35.60329053
82.31,-62.17,1,2007,-36.53522202
82.31,-62.17,2,2007,-32.46246747
82.31,-62.17,3,2007,-35.99899589
82.31,-62.17,4,2007,-30.02223684
82.31,-62.17,5,2007,-28.82696969
82.31,-62.17,6,2007,-21.88120504
82.31,-62.17,7,2007,-19.01357419
82.31,-62.17,8,2007,-19.61290889
82.31,-62.17,9,2007,-24.73502475
82.31,-62.17,10,2007,-31.02916243
82.31,-62.17,11,2007,-34.55647301
82.31,-62.17,12,2007,-33.72394899
63.52,-116,1,2003,-27.85518143
63.52,-116,2,2003,-29.13576765
63.52,-116,3,2003,-25.78601374
63.52,-116,4,2003,-22.44224166
63.52,-116,5,2003,-19.02002399
63.52,-116,6,2003,-17.28154689
63.52,-116,7,2003,-15.95470281
63.52,-116,8,2003,-16.29636784
63.52,-116,9,2003,-15.54889054
63.52,-116,10,2003,-15.15292952
63.52,-116,11,2003,-23.15795685
63.52,-116,12,2003,-25.64293794
63.52,-116,1,2004,-30.12013891
63.52,-116,2,2004,-25.9971159
63.52,-116,3,2004,-26.30218589
63.52,-116,4,2004,-23.44200137
63.52,-116,5,2004,-21.42069821
63.52,-116,6,2004,-16.57395725
63.52,-116,7,2004,-16.74874068
63.52,-116,8,2004,-16.31454936
63.52,-116,9,2004,-17.7518759
63.52,-116,10,2004,-20.92525406
63.52,-116,11,2004,-23.10351429
63.52,-116,12,2004,-28.1066659
63.52,-116,1,2005,-27.86584456
63.52,-116,2,2005,-27.53428653
63.52,-116,3,2005,-25.1595101
63.52,-116,4,2005,-22.63421196
63.52,-116,5,2005,-20.38281245
63.52,-116,6,2005,-16.99211553
63.52,-116,7,2005,-16.86736988
63.52,-116,8,2005,-16.85912553
63.52,-116,9,2005,-17.78678121
63.52,-116,10,2005,-19.37065956
63.52,-116,11,2005,-22.58911582
63.52,-116,12,2005,-24.07620641
63.52,-116,1,2006,-27.23976058
63.52,-116,2,2006,-28.01067039
63.52,-116,3,2006,-24.46958692
63.52,-116,4,2006,-22.30236028
63.52,-116,5,2006,-19.14279458
63.52,-116,6,2006,-16.25216592
63.52,-116,7,2006,-17.40294337
